County Name ,County Population ,County Ratio On Sale ,County Ratio Off Sale ,Census Tract # ,Census Tract Population ,On Sale ,Off Sale 
SAN FRANCISCO ,836620,286,1026,228.01,5078,17,4
SAN FRANCISCO ,836620,286,1026,228.02,2099,7,2
SAN FRANCISCO ,836620,286,1026,228.03,4595,16,4
SAN FRANCISCO ,836620,286,1026,229.01,4640,16,4
SAN FRANCISCO ,836620,286,1026,229.02,2617,9,2
SAN FRANCISCO ,836620,286,1026,229.03,3384,11,3
SAN FRANCISCO ,836620,286,1026,230.01,5216,18,5
SAN FRANCISCO ,836620,286,1026,230.03,4093,14,3
SAN FRANCISCO ,836620,286,1026,231.02,3478,12,3
SAN FRANCISCO ,836620,286,1026,231.03,3725,13,3
SAN FRANCISCO ,836620,286,1026,232,4582,16,4
SAN FRANCISCO ,836620,286,1026,233,2624,9,2
SAN FRANCISCO ,836620,286,1026,234,3660,12,3
SAN FRANCISCO ,836620,286,1026,251,3077,10,2
SAN FRANCISCO ,836620,286,1026,252,5369,18,5
SAN FRANCISCO ,836620,286,1026,253,4362,15,4
SAN FRANCISCO ,836620,286,1026,254.01,3404,11,3
SAN FRANCISCO ,836620,286,1026,254.02,2912,10,2
SAN FRANCISCO ,836620,286,1026,254.03,4267,14,4
SAN FRANCISCO ,836620,286,1026,255,8471,29,8
SAN FRANCISCO ,836620,286,1026,256,5618,19,5
SAN FRANCISCO ,836620,286,1026,257.01,4788,16,4
SAN FRANCISCO ,836620,286,1026,257.02,4665,16,4
SAN FRANCISCO ,836620,286,1026,258,1960,6,1
SAN FRANCISCO ,836620,286,1026,259,4261,14,4
SAN FRANCISCO ,836620,286,1026,260.01,5863,20,5
SAN FRANCISCO ,836620,286,1026,260.02,3544,12,3
SAN FRANCISCO ,836620,286,1026,260.03,4908,17,4
SAN FRANCISCO ,836620,286,1026,260.04,4315,15,4
SAN FRANCISCO ,836620,286,1026,261,6810,23,6
SAN FRANCISCO ,836620,286,1026,262,7564,26,7
SAN FRANCISCO ,836620,286,1026,263.01,4875,17,4
SAN FRANCISCO ,836620,286,1026,263.02,4992,17,4
SAN FRANCISCO ,836620,286,1026,263.03,4551,15,4
SAN FRANCISCO ,836620,286,1026,264.01,4044,14,3
SAN FRANCISCO ,836620,286,1026,264.02,4118,14,4
SAN FRANCISCO ,836620,286,1026,264.03,4140,14,4
SAN FRANCISCO ,836620,286,1026,264.04,2851,9,2
SAN FRANCISCO ,836620,286,1026,301.01,4233,14,4
SAN FRANCISCO ,836620,286,1026,301.02,4838,16,4
SAN FRANCISCO ,836620,286,1026,302.01,3928,13,3
SAN FRANCISCO ,836620,286,1026,302.02,4313,15,4
SAN FRANCISCO ,836620,286,1026,303.01,5658,19,5
SAN FRANCISCO ,836620,286,1026,303.02,3549,12,3
SAN FRANCISCO ,836620,286,1026,304,5106,17,4
SAN FRANCISCO ,836620,286,1026,305,3046,10,2
SAN FRANCISCO ,836620,286,1026,306,2221,7,2
SAN FRANCISCO ,836620,286,1026,307,6343,22,6
SAN FRANCISCO ,836620,286,1026,308,5667,19,5
SAN FRANCISCO ,836620,286,1026,309,6581,22,6
SAN FRANCISCO ,836620,286,1026,310,3494,12,3
SAN FRANCISCO ,836620,286,1026,311,6193,21,6
SAN FRANCISCO ,836620,286,1026,312.01,6167,21,6
SAN FRANCISCO ,836620,286,1026,312.02,3137,10,3
SAN FRANCISCO ,836620,286,1026,313.01,3826,13,3
SAN FRANCISCO ,836620,286,1026,313.02,5495,19,5
SAN FRANCISCO ,836620,286,1026,314,6676,23,6
SAN FRANCISCO ,836620,286,1026,326.01,4416,15,4
SAN FRANCISCO ,836620,286,1026,326.02,4316,15,4
SAN FRANCISCO ,836620,286,1026,327,6572,22,6
SAN FRANCISCO ,836620,286,1026,328.01,4238,14,4
SAN FRANCISCO ,836620,286,1026,328.02,4047,14,3
SAN FRANCISCO ,836620,286,1026,329.01,5021,17,4
SAN FRANCISCO ,836620,286,1026,329.02,3831,13,3
SAN FRANCISCO ,836620,286,1026,330,7764,27,7
SAN FRANCISCO ,836620,286,1026,331,3968,13,3
SAN FRANCISCO ,836620,286,1026,332.01,3683,12,3
SAN FRANCISCO ,836620,286,1026,332.03,3472,12,3
SAN FRANCISCO ,836620,286,1026,332.04,3821,13,3
SAN FRANCISCO ,836620,286,1026,351,7842,27,7
SAN FRANCISCO ,836620,286,1026,352.01,5300,18,5
SAN FRANCISCO ,836620,286,1026,352.02,4322,15,4
SAN FRANCISCO ,836620,286,1026,353,7226,25,7
SAN FRANCISCO ,836620,286,1026,354,6691,23,6
SAN FRANCISCO ,836620,286,1026,401,4088,14,3
SAN FRANCISCO ,836620,286,1026,402,5191,18,5
SAN FRANCISCO ,836620,286,1026,426.01,3687,12,3
SAN FRANCISCO ,836620,286,1026,426.02,3243,11,3
SAN FRANCISCO ,836620,286,1026,427,5326,18,5
SAN FRANCISCO ,836620,286,1026,428,2376,8,2
SAN FRANCISCO ,836620,286,1026,451,4996,17,4
SAN FRANCISCO ,836620,286,1026,452,6474,22,6
SAN FRANCISCO ,836620,286,1026,476,5137,17,5
SAN FRANCISCO ,836620,286,1026,477.01,4334,15,4
SAN FRANCISCO ,836620,286,1026,477.02,3824,13,3
SAN FRANCISCO ,836620,286,1026,478.01,4005,13,3
SAN FRANCISCO ,836620,286,1026,478.02,3656,12,3
SAN FRANCISCO ,836620,286,1026,479.01,6400,22,6
SAN FRANCISCO ,836620,286,1026,479.02,3536,12,3
SAN FRANCISCO ,836620,286,1026,601,3235,11,3
SAN FRANCISCO ,836620,286,1026,604,1689,5,1
SAN FRANCISCO ,836620,286,1026,605.02,3216,11,3
SAN FRANCISCO ,836620,286,1026,607,9083,31,8
SAN FRANCISCO ,836620,286,1026,610,3610,12,3
SAN FRANCISCO ,836620,286,1026,611,4307,15,4
SAN FRANCISCO ,836620,286,1026,612,4089,14,3
SAN FRANCISCO ,836620,286,1026,614,5395,18,5
SAN FRANCISCO ,836620,286,1026,615,11502,40,11
SAN FRANCISCO ,836620,286,1026,9802,320,1,0
SAN FRANCISCO ,836620,286,1026,9803,171,0,0
SAN FRANCISCO ,836620,286,1026,9804.01,0,0,0
SAN FRANCISCO ,836620,286,1026,9805.01,797,2,0
SAN FRANCISCO ,836620,286,1026,9806,467,1,0
SAN FRANCISCO ,836620,286,1026,9809,350,1,0
SAN FRANCISCO ,836620,286,1026,9901,0,0,0
