GEOID10,censusTract,superVisorDistrict,superVisorDistrict2012,neighborhood
06075047802,47802,1,1,Outer Richmond
06075047901,47901,1,1,Outer Richmond
06075047902,47902,1,1,Outer Richmond
06075060100,60100,2,2,Presidio
06075060400,60400,7,7,Lakeshore
06075060502,60502,10,10,Visitacion Valley
06075060700,60700,6,6,Mission Bay
06075061000,61000,10,10,Bayview
06075061100,61100,3,3,Chinatown
06075061200,61200,10,10,Bayview
06075061400,61400,10,10,Potrero Hill
06075061500,61500,6,6,South of Market
06075980200,980200,1,1,Seacliff
06075980300,980300,1,1,Golden Gate Park
06075980501,980501,10,10,Visitacion Valley
06075980600,980600,10,10,Bayview
06075980900,980900,10,10,Bayview
