"","Census_tra","License_Ty","n_stores"
"319",60502,41,1
"320",12401,41,10
"321",21600,40,1
"322",16802,41,7
"323",16200,48,4
"324",11700,70,1
"325",980300,47,3
"326",10900,42,2
"327",16600,48,9
"328",16801,42,2
"329",16600,41,16
"330",16801,51,1
"331",16600,47,1
"332",16801,48,3
"333",16801,47,3
"334",60400,47,1
"335",16200,42,1
"336",60700,42,2
"337",31201,41,2
"338",33201,41,2
"339",61100,51,1
"340",12401,47,1
"341",11000,41,16
"342",10900,41,23
"343",12000,42,1
"344",23200,41,1
"345",23103,42,1
"346",32601,41,11
"347",30101,41,9
"348",32601,47,1
"349",30201,48,1
"350",30201,41,4
"351",32601,48,3
"352",30201,42,1
"353",30101,42,1
"354",10800,41,4
"355",61000,47,1
"356",10100,70,2
"357",35202,47,3
"358",35100,41,2
"359",35202,48,1
"360",32602,41,1
"361",11700,75,2
"362",12202,47,3
"363",12502,41,1
"364",10200,48,1
"365",26403,41,1
"366",12901,41,3
"367",12901,47,2
"368",12901,48,1
"369",60100,47,1
"370",22802,47,1
"371",12402,48,2
"372",17601,64,1
"373",20300,86,1
"374",20300,42,1
"375",12501,48,5
"376",11700,57,2
"377",12302,51,1
"378",17601,42,2
"379",11300,41,2
"380",11200,47,2
"381",15400,47,1
"382",22600,42,1
"383",61500,64,1
"384",20900,40,1
"385",25300,42,1
"386",25403,41,3
"387",20800,75,1
"388",25403,48,1
"389",25500,41,3
"390",26301,40,1
"391",26100,48,1
"392",26200,48,1
"393",25500,48,3
"394",26001,41,12
"395",26200,41,1
"396",26004,47,1
"397",26004,41,3
"398",26001,48,3
"399",26100,47,2
"400",25500,50,1
"401",25500,47,1
"402",26001,47,2
"403",31100,48,1
"404",61100,57,1
"405",10200,57,1
"406",32802,48,3
"407",32802,41,10
"408",32902,41,4
"409",35201,41,3
"410",32902,48,1
"411",35201,48,1
"412",31000,41,5
"413",31201,48,2
"414",31000,86,1
"415",30900,41,8
"416",30900,51,1
"417",30900,86,1
"418",30900,47,1
"419",NA,79,1
"420",26100,51,1
"421",11000,42,1
"422",13200,70,1
"423",23200,47,1
"424",30102,41,1
"425",61400,41,1
"426",15100,63,1
"427",47902,41,1
"428",47901,47,1
"429",11000,48,3
"430",10900,48,5
"431",11100,47,3
"432",11000,47,5
"433",12000,48,8
"434",12000,47,4
"435",11100,42,1
"436",30600,41,2
"437",30600,48,1
"438",30600,86,1
"439",30600,42,1
"440",12100,51,5
"441",12000,75,1
"442",15500,63,1
"443",12100,42,2
"444",12100,64,1
"445",11700,79,1
"446",22802,41,2
"447",22802,48,1
"448",12501,40,1
"449",11700,42,1
"450",11300,50,1
"451",25100,41,1
"452",13300,47,2
"453",13300,48,1
"454",40100,50,1
"455",60700,48,1
"456",22803,47,1
"457",13101,40,1
"458",25800,41,5
"459",25702,47,1
"460",25702,41,6
"461",25702,48,1
"462",25800,48,1
"463",25702,40,1
"464",15300,50,1
"465",16700,85,1
"466",123364,51,1
"467",60400,51,1
"468",60400,40,1
"469",35400,41,5
"470",33100,41,2
"471",17601,79,1
"472",16600,86,1
"473",11700,51,1
"474",NA,41,1
"475",10600,57,1
"476",10600,67,1
"477",980501,47,1
"478",12100,52,1
"479",12100,50,1
"480",11700,86,1
"481",15200,40,1
"482",33000,48,3
"483",30400,42,1
"484",30400,47,1
"485",33000,41,13
"486",32901,47,2
"487",32801,48,1
"488",32801,41,3
"489",35300,41,4
"490",32901,41,1
"491",35400,48,1
"492",33000,47,1
"493",10100,86,1
"494",980900,40,1
"495",NA,51,1
"496",22801,75,1
"497",30800,48,4
"498",13000,40,2
"499",13000,47,15
"500",13000,41,13
"501",13000,42,1
"502",20800,42,1
"503",21000,48,1
"504",16200,57,1
"505",12202,50,1
"506",13102,47,1
"507",16000,41,3
"508",13101,41,1
"509",15100,42,1
"510",16200,64,1
"511",16000,42,1
"512",16000,47,1
"513",30800,42,2
"514",12700,51,1
"515",23300,47,1
"516",60400,41,1
"517",11700,20,7
"518",11700,21,14
"519",16900,21,5
"520",45200,21,7
"521",18000,21,6
"522",17802,21,6
"523",17700,21,6
"524",30202,20,1
"525",20100,21,8
"526",20300,20,2
"527",20200,20,1
"528",20200,21,11
"529",20300,21,5
"530",20401,21,2
"531",20600,21,3
"532",20500,21,7
"533",22702,21,2
"534",22702,20,2
"535",20700,21,9
"536",20600,20,1
"537",30302,21,1
"538",20800,21,9
"539",22801,20,2
"540",61500,20,11
"541",22600,20,4
"542",61400,21,5
"543",61400,20,1
"544",22801,21,5
"545",32801,21,2
"546",22803,21,6
"547",22600,21,1
"548",21100,21,4
"549",20900,20,3
"550",21000,21,6
"551",21200,21,1
"552",22902,21,1
"553",22902,20,4
"554",22901,21,7
"555",22903,21,6
"556",20900,21,6
"557",21400,21,5
"558",21400,20,2
"559",21100,20,1
"560",21300,20,1
"561",42700,20,4
"562",21500,20,2
"563",40100,20,2
"564",45100,21,3
"565",61500,21,12
"566",42700,21,5
"567",10100,21,9
"568",30101,21,4
"569",18000,20,5
"570",23200,21,4
"571",61200,21,5
"572",23400,20,1
"573",980900,20,7
"574",23300,21,2
"575",23300,20,1
"576",10700,20,4
"577",35202,21,3
"578",60700,21,3
"579",17801,20,3
"580",17601,21,7
"581",40200,21,6
"582",30202,21,8
"583",17601,20,3
"584",26200,21,2
"585",31302,21,4
"586",25401,21,4
"587",15600,21,2
"588",25702,21,5
"589",15400,21,6
"590",12800,21,8
"591",47600,21,2
"592",47801,21,2
"593",47802,20,1
"594",47901,21,4
"595",47702,21,1
"596",980900,21,3
"597",25100,21,4
"598",61000,21,1
"599",26403,20,2
"600",10200,21,4
"601",25500,21,6
"602",31400,21,3
"603",10600,21,5
"604",10700,21,4
"605",13400,21,3
"606",16700,21,5
"607",16400,21,6
"608",16400,20,2
"609",26303,21,3
"610",NA,20,3
"611",13500,21,4
"612",11902,21,6
"613",12100,21,10
"614",11100,21,9
"615",15400,20,2
"616",17902,20,1
"617",15100,20,2
"618",13300,21,2
"619",15200,21,3
"620",40200,20,2
"621",40100,21,3
"622",42601,21,5
"623",15200,20,3
"624",33203,21,1
"625",20800,20,2
"626",60700,20,4
"627",21800,21,4
"628",12800,20,1
"629",12601,20,1
"630",16900,20,2
"631",21500,21,4
"632",11200,21,4
"633",17802,20,4
"634",30102,21,1
"635",17102,20,1
"636",17102,21,3
"637",10400,21,4
"638",10400,20,1
"639",20401,20,1
"640",25402,21,1
"641",25200,21,4
"642",25300,21,5
"643",25403,21,1
"644",12501,21,6
"645",30400,21,3
"646",21700,21,1
"647",21700,20,1
"648",21200,20,1
"649",31100,21,4
"650",15500,21,6
"651",15801,21,1
"652",15802,21,2
"653",15802,20,2
"654",15300,21,2
"655",20500,20,1
"656",12502,21,5
"657",12402,21,4
"658",16000,21,3
"659",12401,21,7
"660",12301,21,10
